Title, Author, Link, Publisher, Released, Date Added
"High Growth Handbook: Scaling Startups From 10 to 10,000", Elad Gil, https://www.amazon.com/High-Growth-Handbook-Elad-Gil/dp/1732265100, Stripe Press, 2018-07-17, 2021-03-22 
"Honor Thy Father",Gay Talese,https://www.amazon.com/Honor-Thy-Father-Gay-Talese-ebook/dp/B002BY77BS,2009-06-03,2021-04-08
